# 1.21.11 canonical item registry (protocol_id<TAB>name) generated from vanilla data report. DO NOT EDIT.
0	minecraft:air
1	minecraft:stone
2	minecraft:granite
3	minecraft:polished_granite
4	minecraft:diorite
5	minecraft:polished_diorite
6	minecraft:andesite
7	minecraft:polished_andesite
8	minecraft:deepslate
9	minecraft:cobbled_deepslate
10	minecraft:polished_deepslate
11	minecraft:calcite
12	minecraft:tuff
13	minecraft:tuff_slab
14	minecraft:tuff_stairs
15	minecraft:tuff_wall
16	minecraft:chiseled_tuff
17	minecraft:polished_tuff
18	minecraft:polished_tuff_slab
19	minecraft:polished_tuff_stairs
20	minecraft:polished_tuff_wall
21	minecraft:tuff_bricks
22	minecraft:tuff_brick_slab
23	minecraft:tuff_brick_stairs
24	minecraft:tuff_brick_wall
25	minecraft:chiseled_tuff_bricks
26	minecraft:dripstone_block
27	minecraft:grass_block
28	minecraft:dirt
29	minecraft:coarse_dirt
30	minecraft:podzol
31	minecraft:rooted_dirt
32	minecraft:mud
33	minecraft:crimson_nylium
34	minecraft:warped_nylium
35	minecraft:cobblestone
36	minecraft:oak_planks
37	minecraft:spruce_planks
38	minecraft:birch_planks
39	minecraft:jungle_planks
40	minecraft:acacia_planks
41	minecraft:cherry_planks
42	minecraft:dark_oak_planks
43	minecraft:pale_oak_planks
44	minecraft:mangrove_planks
45	minecraft:bamboo_planks
46	minecraft:crimson_planks
47	minecraft:warped_planks
48	minecraft:bamboo_mosaic
49	minecraft:oak_sapling
50	minecraft:spruce_sapling
51	minecraft:birch_sapling
52	minecraft:jungle_sapling
53	minecraft:acacia_sapling
54	minecraft:cherry_sapling
55	minecraft:dark_oak_sapling
56	minecraft:pale_oak_sapling
57	minecraft:mangrove_propagule
58	minecraft:bedrock
59	minecraft:sand
60	minecraft:suspicious_sand
61	minecraft:suspicious_gravel
62	minecraft:red_sand
63	minecraft:gravel
64	minecraft:coal_ore
65	minecraft:deepslate_coal_ore
66	minecraft:iron_ore
67	minecraft:deepslate_iron_ore
68	minecraft:copper_ore
69	minecraft:deepslate_copper_ore
70	minecraft:gold_ore
71	minecraft:deepslate_gold_ore
72	minecraft:redstone_ore
73	minecraft:deepslate_redstone_ore
74	minecraft:emerald_ore
75	minecraft:deepslate_emerald_ore
76	minecraft:lapis_ore
77	minecraft:deepslate_lapis_ore
78	minecraft:diamond_ore
79	minecraft:deepslate_diamond_ore
80	minecraft:nether_gold_ore
81	minecraft:nether_quartz_ore
82	minecraft:ancient_debris
83	minecraft:coal_block
84	minecraft:raw_iron_block
85	minecraft:raw_copper_block
86	minecraft:raw_gold_block
87	minecraft:heavy_core
